DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Feb-25,EQ,"1,868.50","1,873.50","1,835.65","1,863.15","1,840.65","1,843.25","1,851.21","2,006.45","1,358.35",5237744,"9,69,61,50,378.65",192119
12-Feb-25,EQ,"1,885.00","1,894.60","1,847.00","1,875.65","1,864.00","1,863.15","1,866.72","2,006.45","1,358.35",5633947,"10,51,69,84,029.10",222006
11-Feb-25,EQ,"1,883.10","1,903.00","1,870.00","1,880.30","1,879.00","1,875.65","1,883.68","2,006.45","1,358.35",4411601,"8,31,00,66,406.30",160934
10-Feb-25,EQ,"1,905.00","1,905.00","1,878.60","1,903.65","1,880.00","1,880.30","1,885.89","2,006.45","1,358.35",3828734,"7,22,05,70,924.25",151607
07-Feb-25,EQ,"1,919.30","1,923.70","1,889.45","1,915.65","1,901.10","1,903.65","1,902.44","2,006.45","1,358.35",4126260,"7,84,99,62,358.05",155494
06-Feb-25,EQ,"1,917.00","1,924.00","1,900.00","1,897.05","1,913.75","1,915.65","1,910.66","2,006.45","1,358.35",4765255,"9,10,47,91,357.40",151924
05-Feb-25,EQ,"1,906.00","1,919.70","1,894.30","1,898.80","1,899.15","1,897.05","1,901.79","2,006.45","1,358.35",4996744,"9,50,27,54,311.35",170651
04-Feb-25,EQ,"1,889.00","1,911.20","1,875.00","1,863.30","1,894.85","1,898.80","1,892.32","2,006.45","1,358.35",7334787,"13,87,97,56,408.55",254137
03-Feb-25,EQ,"1,836.00","1,876.55","1,832.40","1,851.35","1,864.10","1,863.30","1,858.62","2,006.45","1,358.35",4823228,"8,96,45,53,565.40",177156
01-Feb-25,EQ,"1,880.30","1,890.60","1,846.00","1,879.80","1,863.00","1,851.35","1,862.44","2,006.45","1,358.35",1701402,"3,16,87,63,954.00",70335
31-Jan-25,EQ,"1,871.00","1,897.45","1,871.00","1,859.95","1,882.95","1,879.80","1,881.49","2,006.45","1,358.35",5820470,"10,95,11,49,690.20",181998
30-Jan-25,EQ,"1,873.15","1,887.20","1,844.00","1,881.25","1,868.40","1,859.95","1,859.61","2,006.45","1,358.35",7336056,"13,64,21,83,045.25",203038
29-Jan-25,EQ,"1,845.00","1,888.65","1,840.50","1,829.75","1,877.55","1,881.25","1,867.04","2,006.45","1,358.35",5145155,"9,60,61,85,635.05",208458
28-Jan-25,EQ,"1,830.00","1,863.50","1,824.90","1,822.00","1,831.00","1,829.75","1,842.44","2,006.45","1,358.35",6999495,"12,89,61,53,068.90",343851
27-Jan-25,EQ,"1,848.75","1,863.00","1,812.00","1,875.45","1,823.00","1,822.00","1,838.09","2,006.45","1,358.35",7652371,"14,06,57,47,508.90",242782
24-Jan-25,EQ,"1,865.50","1,894.90","1,864.25","1,865.45","1,875.00","1,875.45","1,881.56","2,006.45","1,358.35",4887027,"9,19,52,42,026.10",294925
23-Jan-25,EQ,"1,858.00","1,879.55","1,852.70","1,856.45","1,864.80","1,865.45","1,868.88","2,006.45","1,358.35",5907471,"11,04,03,65,439.10",305255
22-Jan-25,EQ,"1,807.40","1,865.80","1,805.15","1,800.70","1,855.00","1,856.45","1,846.53","2,006.45","1,358.35",8373913,"15,46,26,99,193.55",493438
21-Jan-25,EQ,"1,819.05","1,831.65","1,793.05","1,813.30","1,804.00","1,800.70","1,814.25","2,006.45","1,358.35",7169109,"13,00,65,82,697.55",252390
20-Jan-25,EQ,"1,822.95","1,827.95","1,793.15","1,815.45","1,813.00","1,813.30","1,809.37","2,006.45","1,358.35",4333011,"7,84,00,06,233.80",192938
17-Jan-25,EQ,"1,851.00","1,858.00","1,812.00","1,928.45","1,817.50","1,815.45","1,824.17","2,006.45","1,358.35",16409953,"29,93,46,01,377.85",503030
