Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-February-2023,3397.90,3397.90,3317.30,3331.85,3341.860150571977968256,30683,4839,102538295.00,10229,33.34,80.60,-66.05
24-February-2023,3421.20,3434.00,3382.55,3400.05,3410.933142743921424325,35329,5025,120504857.00,13409,37.95,51.45,-21.15
23-February-2023,3410.50,3453.75,3408.00,3414.10,3428.648446819678389082,41914,2914,143708371.00,9076,21.65,45.75,3.60
22-February-2023,3424.90,3447.55,3395.10,3400.55,3412.874137475055898829,41593,4108,141951674.00,26339,63.33,52.45,-24.35
21-February-2023,3489.00,3507.95,3445.00,3449.40,3472.520544193734534393,102243,7199,355040918.00,74109,72.48,62.95,-39.60
20-February-2023,3506.00,3522.00,3475.20,3486.10,3491.017793263646922183,43050,4247,150288316.00,22050,51.22,46.80,-19.90
17-February-2023,3525.00,3536.75,3489.95,3499.65,3515.939776323289502132,50877,5763,178880468.00,24938,49.02,46.80,-25.35
16-February-2023,3530.00,3575.00,3526.00,3553.95,3558.806227893751300367,57676,5177,205257708.00,32837,56.93,49.00,23.95
15-February-2023,3490.00,3525.00,3460.45,3518.90,3489.040776246588109979,30042,2915,104817763.00,11129,37.04,64.55,28.90
14-February-2023,3499.00,3524.20,3496.10,3499.15,3516.909407517519643236,141270,7334,496833792.00,117565,83.22,28.10,0.15
13-February-2023,3548.00,3548.00,3475.00,3482.75,3493.051715564395822973,26143,3210,91318851.00,8716,33.34,73.00,-65.25
10-February-2023,3512.05,3541.15,3506.65,3535.45,3527.867695358492904505,48411,6329,170787603.00,27721,57.26,34.50,23.40
9-February-2023,3518.70,3547.95,3504.00,3541.15,3532.242479600535866520,32844,4072,116012972.00,12822,39.04,43.95,22.45
8-February-2023,3472.00,3539.50,3472.00,3518.70,3524.018624754420432220,50900,5534,179372548.00,23165,45.51,67.50,46.70
7-February-2023,3464.00,3492.00,3460.15,3470.65,3478.358064798270713330,80033,7769,278383431.00,54975,68.69,31.85,6.65
6-February-2023,3475.00,3475.00,3437.00,3460.00,3456.016109450877848337,21416,2691,74014041.00,9635,44.99,38.00,-15.00
3-February-2023,3492.60,3498.00,3452.45,3481.85,3483.194142459212097095,125650,13964,437663344.00,77999,62.08,45.55,-10.75
2-February-2023,3407.05,3468.30,3407.05,3461.95,3449.930018986296846623,48456,4402,167169809.00,20956,43.25,61.25,54.90
1-February-2023,3380.00,3418.00,3355.60,3407.65,3382.350284840905933027,43182,4971,146056650.00,13054,30.23,62.40,27.65
31-January-2023,3442.05,3444.85,3347.70,3357.45,3376.452404727295708778,79115,10257,267128032.00,30724,38.83,97.15,-84.60
30-January-2023,3413.55,3457.95,3387.15,3435.40,3425.536773913479037617,59893,5449,205165674.00,19826,33.10,70.80,21.85
27-January-2023,3430.00,3447.00,3382.15,3410.40,3413.267641338315959701,91518,12412,312375428.00,59762,65.30,64.85,-19.60
25-January-2023,3425.00,3435.95,3405.70,3431.55,3422.880787037037037037,39744,3993,136038974.00,14071,35.40,30.25,6.55
24-January-2023,3423.00,3451.75,3416.10,3435.85,3435.062659407050992167,55283,5550,189900569.00,23069,41.73,35.65,12.85
23-January-2023,3375.30,3418.00,3358.00,3414.00,3389.030958565770983264,46966,4397,159169228.00,20840,44.37,60.00,38.70
20-January-2023,3369.70,3393.80,3356.20,3361.65,3372.983864357055029445,46357,5393,156361413.00,26567,57.31,37.60,-8.05
19-January-2023,3380.00,3387.10,3360.55,3372.40,3377.055214485545539322,77208,8169,260735679.00,40166,52.02,26.55,-7.60
18-January-2023,3373.55,3407.65,3371.00,3390.55,3391.426341381778963712,107557,12500,364771643.00,72406,67.32,36.65,17.00
17-January-2023,3334.00,3383.00,3319.75,3378.85,3361.373230341469032518,121563,11422,408618614.00,74165,61.01,63.25,44.85
16-January-2023,3320.00,3352.40,3298.75,3334.40,3327.225774938361581044,64489,6825,214569463.00,30334,47.04,53.65,14.40
13-January-2023,3349.00,3379.10,3305.20,3374.20,3351.183652804358172078,98757,11171,330952844.00,45820,46.40,73.90,25.20
12-January-2023,3333.00,3350.00,3316.00,3334.60,3332.883943903835145964,83856,9799,279482316.00,47970,57.21,34.00,1.60
11-January-2023,3289.00,3349.00,3272.00,3328.85,3327.945797773911122158,72414,7258,240989867.00,34917,48.22,77.00,39.85
10-January-2023,3290.00,3292.50,3231.00,3286.20,3258.927305861037374120,94932,9569,309376487.00,28873,30.41,61.50,-3.80
9-January-2023,3243.90,3327.80,3215.30,3319.70,3302.841010990050987211,169062,18323,558384907.00,89801,53.12,112.50,75.80
6-January-2023,3300.00,3300.05,3200.00,3212.00,3236.275430598322217023,91907,11218,297436366.00,70141,76.32,100.05,-88.00
5-January-2023,3330.00,3336.10,3283.10,3310.35,3310.488515737692791359,54074,6833,179011356.00,35771,66.15,53.00,-19.65
4-January-2023,3304.00,3326.85,3286.85,3314.05,3308.766556291390728476,42280,2975,139894650.00,28731,67.95,40.00,10.05
3-January-2023,3260.00,3319.55,3247.70,3310.85,3293.067179754761283589,45996,3922,151467918.00,22341,48.57,71.85,50.85
2-January-2023,3265.00,3267.00,3235.85,3260.65,3255.635813940587468449,72106,10500,234750876.00,46718,64.79,31.15,-4.35
30-December-2022,3285.00,3299.05,3246.75,3259.25,3288.159987698323347374,182089,17368,598737764.00,145362,79.83,52.30,-25.75
29-December-2022,3233.00,3271.00,3229.05,3269.25,3253.537259048086544452,52967,4095,172330108.00,34901,65.89,41.95,36.25
28-December-2022,3245.00,3266.95,3226.80,3256.30,3254.991402835132459127,41409,4161,134785939.00,23383,56.47,40.15,11.30
27-December-2022,3265.00,3273.95,3230.60,3259.05,3252.169850642584230635,34548,6333,112355964.00,15275,44.21,43.35,-5.95
26-December-2022,3225.00,3271.95,3225.00,3255.85,3254.791278943951525643,18484,2852,60161562.00,8917,48.24,46.95,30.85
23-December-2022,3235.10,3265.85,3218.70,3227.30,3242.978379962576369006,88714,7652,287697584.00,53289,60.07,47.15,-7.80
22-December-2022,3288.00,3290.95,3244.60,3258.70,3258.457955482275350370,41242,4430,134385323.00,23469,56.91,46.35,-29.30
21-December-2022,3249.00,3283.00,3239.35,3267.15,3253.758233072802318433,91096,8311,296404360.00,58850,64.60,43.65,18.15
